Latitude,Longitude,name
43.347398,5.367836,
43.345915,5.377353,
43.330306,5.38461,
43.366726,5.351458,
43.326387,5.389235,
43.361231,5.318352,
43.381888,5.366947,
43.320682,5.433395,
43.282644,5.450249,
43.278514,5.406555,
43.314075,5.385166,
43.325193,5.412003,
43.34043,5.406024,
43.329475,5.380177,
43.315395,5.382859,
43.341296297295976,5.371190650730289,Cité Bassens
43.27972526985155,5.422255553695332,Cité Benza
43.3515248470085,5.3671933938178,Cité des Aygalades
43.334167087128996,5.400621404796467,Cité des Flamants
43.318345413963335,5.373568567915742,Cité Felix-Pyat
43.33169424090888,5.3800886543004625,Cité Jean Jaures
43.319964511423514,5.394230790423446,Cité les Marroniers
43.32895113866753,5.375249775627435,Cité Maison-Blanche
43.31125274956905,5.380676625303144,Cité Moulin de Mai 
43.28325577185129,5.407352079942879,Cité Pierre-Renard
43.280002037308705,5.441168797830988,Cité Saint-Thys
43.33342380449675,5.434698087337007,Cité Val Plan
43.349069148046766,5.350844184617086,Consolat-Mirabeau
43.32820125541647,5.391241678193402,Font-Vert
43.32543137912492,5.427272383560123,Frais-Vallon
43.33910901172214,5.425820961680032,HLM La Cerisaie
43.32922673687357,5.383510927937927,HLM Méditerranée
43.33426919735872,5.439055630738829,La Bégude Nord
43.33291516957909,5.442484068045156,La Bégude Sud
43.36778093083271,5.347190340219381,LA BRICARDE
43.33219105257171,5.396267760135942,La Busserine
43.366457327144765,5.341536685526448,La Castellane
43.230242900567085,5.403173659406542,La Cayolle
43.32474917837441,5.385746303162966,La Marine Bleu
43.3401251590119,5.383497829597701,"La Paternelle "" Le Maga "" "
43.33961719297012,5.381789373689918,"La Paternelle "" Le Yoda "" "
43.33840244511338,5.384725733411819,La Paternelle Vieux Moulin
43.336071451365655,5.415481874385708,La Renaude
43.271872084967455,5.41613331919364,La Sauvagere
43.368107016814136,5.370792308913763,La Savine
43.38623931368252,5.370779979215956,La Solidarité 
43.35615327032336,5.359978274255888,La Viste 
43.30598392275023,5.374686958909886,Le Bel-Horizon
43.35128359907125,5.375753136336251,Le Castellas
43.33124165123925,5.429844064469022,Le Clos la Rose
43.30921513212169,5.380894330738893,Le Gyptis
43.33456317618317,5.397517808205324,Le Mail
43.30567914176665,5.376065485205429,Le Racati 
43.3384146788474,5.422083443180462,Les Balustres
43.32785882751532,5.405155904394676,Les Bleuets
43.38430184030968,5.361864459120234,Les Bourrely
43.30077100812845,5.372252728119986,Les Carmes
43.331829797253846,5.403047192271282,Les Iris
43.32839695227374,5.411505917608713,Les Lauriers
43.347397544212335,5.380497126118763,Les Micocouliers
43.33199698844523,5.411729470373551,Les Oliviers A
43.32925578093043,5.406880900650274,Les Oliviers B
43.321467853388775,5.386884589061103,Les Rosiers
43.325074841633054,5.4053502978309815,Parc Corot
43.386202817876196,5.365823540442538,Parc Kalliste
43.33090900071978,5.391151659388101,Picon
43.29126645986889,5.429814716852315,Quartier Air-Bel
43.34359978867752,5.356277343268572,Résidence Campagne L'évêque 
43.27502072116877,5.4349620475510845,Résidence Château Saint-Loup
43.31269811613964,5.372841181245077,Residence fonscolombes
43.38870107435277,5.3537351356001945,Résidence la Gavotte-Peyret
43.347841154983556,5.347209576213892,Résidence Mirabeau
43.37033333498856,5.363843456028605,Résidence Val-Pins