IRIS	nlog	stot	nlog_ccthpV	stot_ccthpV	nlog_ccthpB	stot_ccthpB	nlog_rppoRS	stot_rppoRS	stot_vac	nlog_vac	stot_vac2a	nlog_vac2a	stot_vac5a	nlog_vac5a	INSEE_COM	NOM_COM	CODE_IRIS	NOM_IRIS	TYP_IRIS	geometry
132100102	1711	86982	285	13097	0	0	42	2100	13097	285	2937	65	837	23	NA	NA	NA	NA	NA	list()
132100103	2690	144917	356	16626	0	0	63	3528	16626	356	5017	118	1479	51	NA	NA	NA	NA	NA	list()
132100104	2208	121491	314	15293	0	0	67	3740	15293	314	4841	91	2123	41	NA	NA	NA	NA	NA	list()
132100201	2810	160411	346	17293	0	0	78	4720	17293	346	4530	104	1713	40	NA	NA	NA	NA	NA	list()
132100202	915	52996	117	6388	0	0	37	2220	6388	117	1688	31	955	15	NA	NA	NA	NA	NA	list()
132100301	1127	66167	105	6082	0	0	30	1857	6082	105	2204	35	1368	21	NA	NA	NA	NA	NA	list()
132100302	2818	144612	391	16959	0	0	67	3794	16959	391	4130	115	898	23	NA	NA	NA	NA	NA	list()
132100401	896	51815	125	5410	0	0	13	675	5410	125	3271	78	1795	46	NA	NA	NA	NA	NA	list()
132100402	1756	117766	193	11465	0	0	86	5700	11465	193	3542	63	1553	27	NA	NA	NA	NA	NA	list()
132100403	632	45831	57	4091	0	0	26	1800	4091	57	1251	17	368	5	NA	NA	NA	NA	NA	list()
132100404	703	55652	63	4943	0	0	6	464	4943	63	2500	31	1498	19	NA	NA	NA	NA	NA	list()
132100405	834	64173	60	4013	0	0	14	1007	4013	60	998	16	496	8	NA	NA	NA	NA	NA	list()
132100406	975	65660	123	6853	0	0	39	2396	6853	123	1346	29	375	12	NA	NA	NA	NA	NA	list()
132100407	1091	78707	79	5097	0	0	21	1445	5097	79	1213	20	331	7	NA	NA	NA	NA	NA	list()
132100408	437	32512	33	2164	0	0	12	956	2164	33	333	6	174	3	NA	NA	NA	NA	NA	list()
132100501	699	47797	47	3109	0	0	15	1140	3109	47	299	6	0	0	NA	NA	NA	NA	NA	list()
132100502	854	60144	59	4109	0	0	27	1771	4109	59	528	8	150	2	NA	NA	NA	NA	NA	list()
132100503	1680	100151	187	10631	0	0	45	2805	10631	187	1985	37	255	5	NA	NA	NA	NA	NA	list()
132100504	1077	79549	66	4416	0	0	20	1619	4416	66	520	9	173	4	NA	NA	NA	NA	NA	list()
132100505	666	47979	42	2675	0	0	23	1702	2675	42	767	13	130	2	NA	NA	NA	NA	NA	list()
132100506	1900	120663	189	10763	0	0	77	4969	10763	189	2219	37	434	7	NA	NA	NA	NA	NA	list()
132100601	1176	71515	196	12512	0	0	17	912	12512	196	6231	90	855	14	NA	NA	NA	NA	NA	list()
132100602	2398	116744	367	14816	0	0	62	2958	14816	367	2560	64	1220	31	NA	NA	NA	NA	NA	list()
132100603	159	9737	24	1213	0	0	6	356	1213	24	202	5	202	5	NA	NA	NA	NA	NA	list()
132110101	838	80981	65	5152	0	0	29	2377	5152	65	964	15	610	8	NA	NA	NA	NA	NA	list()
132110201	1060	76027	97	5484	0	0	37	2936	5484	97	2039	37	988	19	NA	NA	NA	NA	NA	list()
132110202	56	4063	8	518	0	0	6	537	518	8	140	2	80	1	NA	NA	NA	NA	NA	list()
132110301	2202	197845	174	11685	0	0	81	6796	11685	174	2209	35	845	16	NA	NA	NA	NA	NA	list()
132110401	697	73024	54	4152	0	0	32	3332	4152	54	1004	16	350	5	NA	NA	NA	NA	NA	list()
132110501	1114	87491	119	8467	0	0	29	2056	8467	119	2471	38	1168	19	NA	NA	NA	NA	NA	list()
132110502	31	2757	2	190	0	0	0	0	190	2	0	0	0	0	NA	NA	NA	NA	NA	list()
132110601	1276	98093	183	11981	2	176	4	288	11981	183	5320	89	1772	36	NA	NA	NA	NA	NA	list()
132110602	57	4450	5	319	0	0	2	222	319	5	143	2	76	1	NA	NA	NA	NA	NA	list()
132110603	653	44878	47	2827	0	0	12	901	2827	47	556	11	223	4	NA	NA	NA	NA	NA	list()
132110604	1485	100934	141	8675	1	57	46	3264	8675	141	1613	20	358	6	NA	NA	NA	NA	NA	list()
132110605	830	55872	84	4974	0	0	37	2429	4974	84	1477	23	809	13	NA	NA	NA	NA	NA	list()
132110606	1227	75534	147	8254	0	0	26	1515	8254	147	2937	53	682	13	NA	NA	NA	NA	NA	list()
132110607	770	49847	92	5640	0	0	91	5441	5640	92	826	12	334	5	NA	NA	NA	NA	NA	list()
132110608	1481	109220	107	7317	0	0	36	2593	7317	107	1834	26	204	3	NA	NA	NA	NA	NA	list()
132110609	687	50398	56	3790	0	0	14	879	3790	56	953	14	378	5	NA	NA	NA	NA	NA	list()
132110701	1018	64237	118	6432	0	0	58	3760	6432	118	1902	36	746	15	NA	NA	NA	NA	NA	list()
132110702	843	45025	159	7014	0	0	22	1053	7014	159	2407	52	1176	22	NA	NA	NA	NA	NA	list()
132110703	874	59174	37	2346	0	0	9	815	2346	37	542	8	168	3	NA	NA	NA	NA	NA	list()
132110704	1544	116625	138	9153	0	0	58	4637	9153	138	4058	59	2357	35	NA	NA	NA	NA	NA	list()
132110705	567	32608	54	2626	0	0	18	1183	2626	54	613	15	252	7	NA	NA	NA	NA	NA	list()
132110706	125	9370	12	873	0	0	9	725	873	12	197	4	0	0	NA	NA	NA	NA	NA	list()
132110801	1162	94711	109	7837	0	0	45	3477	7837	109	2771	35	1131	12	NA	NA	NA	NA	NA	list()
132110802	238	19857	34	2801	0	0	19	1436	2801	34	1642	17	1328	14	NA	NA	NA	NA	NA	list()
132110901	416	41893	31	2665	0	0	25	2268	2665	31	775	9	294	5	NA	NA	NA	NA	NA	list()
132111001	585	38842	62	4158	0	0	13	928	4158	62	1734	26	536	8	NA	NA	NA	NA	NA	list()
132111002	660	46566	62	4001	0	0	17	1244	4001	62	757	12	103	2	NA	NA	NA	NA	NA	list()
132111003	2030	135023	198	12413	0	0	28	1890	12413	198	4395	69	1894	28	NA	NA	NA	NA	NA	list()
132111004	216	16593	15	1135	0	0	7	417	1135	15	340	4	117	2	NA	NA	NA	NA	NA	list()
132111005	737	54746	102	7213	0	0	3	157	7213	102	1979	28	195	3	NA	NA	NA	NA	NA	list()
132111101	1630	127782	138	8830	0	0	38	2932	8830	138	1747	30	748	13	NA	NA	NA	NA	NA	list()
132111102	148	10557	8	479	0	0	8	775	479	8	111	3	111	3	NA	NA	NA	NA	NA	list()
132120101	2618	200702	214	14772	0	0	70	5874	14772	214	3336	46	1119	18	NA	NA	NA	NA	NA	list()
132120102	1018	66421	102	6286	0	0	22	1462	6286	102	1267	21	441	8	NA	NA	NA	NA	NA	list()
132120103	1650	94842	274	14567	0	0	15	1011	14567	274	4917	102	3411	73	NA	NA	NA	NA	NA	list()
132120201	2405	169383	238	15272	0	0	64	4099	15272	238	3349	52	1403	23	NA	NA	NA	NA	NA	list()
132120202	2098	154009	178	12433	0	0	34	2487	12433	178	2200	32	771	11	NA	NA	NA	NA	NA	list()
132120301	891	62036	87	5254	0	0	28	2104	5254	87	1938	34	1124	18	NA	NA	NA	NA	NA	list()
132120302	1349	93728	109	6325	0	0	38	2113	6325	109	1741	29	480	9	NA	NA	NA	NA	NA	list()
132120303	1502	121349	142	9661	0	0	46	3530	9661	142	1655	21	699	11	NA	NA	NA	NA	NA	list()
132120304	1496	93855	150	8766	0	0	36	2384	8766	150	1660	28	612	10	NA	NA	NA	NA	NA	list()
132120305	1007	77078	77	4813	0	0	26	1681	4813	77	430	9	155	3	NA	NA	NA	NA	NA	list()
132120401	1054	77782	88	5450	0	0	27	1730	5450	88	820	17	414	9	NA	NA	NA	NA	NA	list()
132120402	1226	85380	148	8691	0	0	41	3320	8691	148	1376	27	624	11	NA	NA	NA	NA	NA	list()
132120403	1129	82151	105	5643	1	65	30	2350	5643	105	634	12	274	3	NA	NA	NA	NA	NA	list()
132120404	1694	104425	147	8859	0	0	37	2432	8859	147	1904	33	551	9	NA	NA	NA	NA	NA	list()
132120405	723	49005	89	6197	0	0	27	1860	6197	89	1170	14	238	3	NA	NA	NA	NA	NA	list()
132120406	1104	83897	95	6121	0	0	31	2005	6121	95	1675	28	830	13	NA	NA	NA	NA	NA	list()
132120501	2280	153203	169	10557	0	0	47	3157	10557	169	1958	29	746	9	NA	NA	NA	NA	NA	list()
132120601	968	74731	76	5264	0	0	31	2541	5264	76	966	14	286	4	NA	NA	NA	NA	NA	list()
132120602	1542	118210	168	11338	0	0	72	5722	11338	168	2268	33	1131	15	NA	NA	NA	NA	NA	list()
132120603	1148	95460	106	7288	0	0	41	3272	7288	106	1933	30	1063	17	NA	NA	NA	NA	NA	list()
132120604	1353	103980	127	7649	0	0	50	3921	7649	127	1726	29	889	14	NA	NA	NA	NA	NA	list()
132120701	1749	145509	153	11324	0	0	99	9038	11324	153	1961	31	940	16	NA	NA	NA	NA	NA	list()
132120702	1723	141405	147	9937	0	0	66	5419	9937	147	2056	29	846	12	NA	NA	NA	NA	NA	list()
132130102	2846	170540	212	12265	0	0	68	5143	12265	212	2010	44	959	26	NA	NA	NA	NA	NA	list()
132130103	1929	133064	170	9724	0	0	40	3372	9724	170	2141	38	1254	22	NA	NA	NA	NA	NA	list()
132130201	1682	123321	128	8489	0	0	56	4462	8489	128	1909	27	447	8	NA	NA	NA	NA	NA	list()
132130202	1651	106463	142	8784	0	0	20	1235	8784	142	1778	26	552	8	NA	NA	NA	NA	NA	list()
132130301	787	54094	124	8354	0	0	2	129	8354	124	2663	40	989	15	NA	NA	NA	NA	NA	list()
132130302	1875	116047	249	14054	0	0	52	3103	14054	249	2833	47	886	15	NA	NA	NA	NA	NA	list()
132130303	1592	99316	174	10081	1	64	21	1461	10081	174	3328	58	1721	29	NA	NA	NA	NA	NA	list()
132130304	96	6232	8	488	0	0	0	0	488	8	0	0	0	0	NA	NA	NA	NA	NA	list()
132130401	661	71285	29	2936	0	0	27	2555	2936	29	696	10	508	7	NA	NA	NA	NA	NA	list()
132130501	863	76302	36	2499	0	0	18	1657	2499	36	615	10	399	6	NA	NA	NA	NA	NA	list()
132130601	1050	72928	96	6184	0	0	35	2752	6184	96	1220	21	586	10	NA	NA	NA	NA	NA	list()
132130602	1088	90088	112	8345	0	0	23	2242	8345	112	1795	26	372	5	NA	NA	NA	NA	NA	list()
132130603	1043	66458	129	7090	0	0	20	1589	7090	129	1775	33	779	14	NA	NA	NA	NA	NA	list()
132130604	792	62713	86	6997	0	0	26	2337	6997	86	1898	24	555	6	NA	NA	NA	NA	NA	list()
132130605	1341	102584	151	7984	0	0	47	3747	7984	151	2385	66	1534	51	NA	NA	NA	NA	NA	list()
132130607	1209	84711	186	11842	0	0	37	2561	11842	186	4521	72	2973	49	NA	NA	NA	NA	NA	list()
132130701	1037	94975	65	5714	0	0	29	2668	5714	65	1345	18	640	9	NA	NA	NA	NA	NA	list()
132130802	696	49982	65	4654	0	0	1	47	4654	65	1768	25	239	3	NA	NA	NA	NA	NA	list()
132130803	905	60298	85	5653	0	0	8	508	5653	85	2254	33	594	9	NA	NA	NA	NA	NA	list()
132130804	1487	96337	145	8617	0	0	39	2760	8617	145	2084	36	545	9	NA	NA	NA	NA	NA	list()
132130805	1425	95922	235	14698	0	0	26	1895	14698	235	4494	69	2246	33	NA	NA	NA	NA	NA	list()
132130806	1440	95045	268	14767	0	0	0	0	14767	268	8139	165	4969	112	NA	NA	NA	NA	NA	list()
132130901	332	23651	38	2638	0	0	0	0	2638	38	626	10	65	1	NA	NA	NA	NA	NA	list()
132130902	1824	103526	284	17962	0	0	26	1807	17962	284	8294	124	4661	68	NA	NA	NA	NA	NA	list()
132130903	1226	78510	132	7003	0	0	36	2377	7003	132	2237	43	1017	19	NA	NA	NA	NA	NA	list()
132130904	1480	86815	135	6317	0	0	23	1846	6317	135	611	14	391	8	NA	NA	NA	NA	NA	list()
132131001	1113	67164	300	16565	0	0	9	619	16565	300	8308	141	3344	60	NA	NA	NA	NA	NA	list()
132131002	1693	110064	236	14541	0	0	51	3628	14541	236	2541	51	1105	25	NA	NA	NA	NA	NA	list()
132131003	693	46723	89	5449	0	0	26	1655	5449	89	1051	20	484	9	NA	NA	NA	NA	NA	list()
132131004	1776	96762	246	11961	0	0	32	2106	11961	246	3085	63	983	19	NA	NA	NA	NA	NA	list()
132131005	995	66545	160	9970	0	0	45	3365	9970	160	1937	33	772	9	NA	NA	NA	NA	NA	list()
132131006	617	39265	81	5012	0	0	14	806	5012	81	644	11	0	0	NA	NA	NA	NA	NA	list()
132131101	1200	84688	112	7771	0	0	23	1790	7771	112	2660	36	1194	17	NA	NA	NA	NA	NA	list()
132131102	746	56258	57	3792	0	0	11	936	3792	57	852	14	0	0	NA	NA	NA	NA	NA	list()
132131103	1820	153625	130	9139	0	0	67	5876	9139	130	1452	19	774	10	NA	NA	NA	NA	NA	list()
132140101	1152	75421	215	14131	0	0	12	640	14131	215	7138	103	3479	47	NA	NA	NA	NA	NA	list()
132140102	375	24680	63	4075	0	0	8	523	4075	63	1425	22	57	1	NA	NA	NA	NA	NA	list()
132140103	402	27257	55	3428	0	0	0	0	3428	55	1771	27	467	7	NA	NA	NA	NA	NA	list()
132140201	1411	79964	186	10129	0	0	17	1099	10129	186	2550	50	573	10	NA	NA	NA	NA	NA	list()
132140202	1509	82492	261	13056	0	0	41	2365	13056	261	4364	89	1429	34	NA	NA	NA	NA	NA	list()
132140203	985	55438	270	14898	0	0	14	806	14898	270	4488	81	1894	34	NA	NA	NA	NA	NA	list()
132140204	758	43230	141	7462	0	0	45	2290	7462	141	2098	40	708	14	NA	NA	NA	NA	NA	list()
132140205	1091	64309	245	13772	0	0	39	2241	13772	245	2946	59	1389	29	NA	NA	NA	NA	NA	list()
132140301	1431	85889	272	15716	0	0	21	1173	15716	272	6793	115	2839	49	NA	NA	NA	NA	NA	list()
132140302	1417	66869	434	16849	0	0	8	381	16849	434	5372	108	2304	48	NA	NA	NA	NA	NA	list()
132140303	1385	73796	251	12214	0	0	46	2312	12214	251	3352	75	1574	36	NA	NA	NA	NA	NA	list()
132140401	1102	97573	70	5690	0	0	58	5253	5690	70	1030	13	524	6	NA	NA	NA	NA	NA	list()
132140402	1730	103662	262	12828	0	0	34	2309	12828	262	4282	76	1893	28	NA	NA	NA	NA	NA	list()
132140403	593	36984	86	5013	0	0	8	559	5013	86	2064	38	264	5	NA	NA	NA	NA	NA	list()
132140404	1888	112258	325	15583	0	0	20	1374	15583	325	5869	127	1603	36	NA	NA	NA	NA	NA	list()
132140405	6	478	2	130	0	0	0	0	130	2	25	1	25	1	NA	NA	NA	NA	NA	list()
132140501	539	38960	404	29278	0	0	0	0	29278	404	24557	341	19233	270	NA	NA	NA	NA	NA	list()
132140502	1663	97458	262	14670	0	0	32	1977	14670	262	4087	77	1418	26	NA	NA	NA	NA	NA	list()
132140503	928	55943	226	12755	0	0	8	348	12755	226	6237	104	3738	59	NA	NA	NA	NA	NA	list()
132140504	985	66603	198	12644	0	0	5	401	12644	198	4476	75	1873	32	NA	NA	NA	NA	NA	list()
132140505	714	46659	138	8275	0	0	0	0	8275	138	5176	88	2661	46	NA	NA	NA	NA	NA	list()
132140506	578	39969	102	6972	0	0	0	0	6972	102	3049	46	755	13	NA	NA	NA	NA	NA	list()
132140507	1096	66795	216	12828	0	0	15	987	12828	216	5080	89	1244	26	NA	NA	NA	NA	NA	list()
132140601	978	63502	174	10837	0	0	15	985	10837	174	4268	66	1579	26	NA	NA	NA	NA	NA	list()
132140602	1045	74740	231	13636	0	0	36	2379	13636	231	4036	62	1680	28	NA	NA	NA	NA	NA	list()
132140603	11	1084	0	0	0	0	2	140	0	0	0	0	0	0	NA	NA	NA	NA	NA	list()
132140701	2532	168184	495	29259	0	0	58	4348	29259	495	10170	158	4951	76	NA	NA	NA	NA	NA	list()
132140702	210	11532	29	1402	0	0	4	331	1402	29	682	14	363	7	NA	NA	NA	NA	NA	list()
132140703	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	list()
132150101	959	65998	120	8317	0	0	12	726	8317	120	2180	29	677	10	NA	NA	NA	NA	NA	list()
132150102	1178	86318	87	6157	0	0	19	1358	6157	87	775	12	84	1	NA	NA	NA	NA	NA	list()
132150103	858	60895	116	6702	0	0	31	2079	6702	116	2147	38	958	17	NA	NA	NA	NA	NA	list()
132150104	28	2836	6	410	0	0	0	0	410	6	80	1	80	1	NA	NA	NA	NA	NA	list()
132150201	729	51609	428	28911	0	0	1	90	28911	428	24332	365	11812	179	NA	NA	NA	NA	NA	list()
132150202	796	57842	144	8552	0	0	25	1418	8552	144	1482	31	571	16	NA	NA	NA	NA	NA	list()
132150301	1457	74261	301	13084	0	0	23	1332	13084	301	6241	145	2198	58	NA	NA	NA	NA	NA	list()
132150302	1526	71027	285	11401	0	0	30	1226	11401	285	4204	112	1962	54	NA	NA	NA	NA	NA	list()
132150303	1518	79330	355	17093	0	0	17	1042	17093	355	6381	139	3064	64	NA	NA	NA	NA	NA	list()
132150304	225	10112	50	1992	0	0	3	111	1992	50	797	17	310	7	NA	NA	NA	NA	NA	list()
132150401	1693	102296	225	13456	0	0	29	1768	13456	225	4347	72	1097	19	NA	NA	NA	NA	NA	list()
132150402	975	58916	126	6662	0	0	28	1661	6662	126	2199	46	792	16	NA	NA	NA	NA	NA	list()
132150501	294	13453	126	5771	0	0	9	301	5771	126	2681	61	1241	30	NA	NA	NA	NA	NA	list()
132150502	1411	65757	384	16225	0	0	21	982	16225	384	8621	203	3374	81	NA	NA	NA	NA	NA	list()
132150601	775	52155	68	4221	0	0	23	1535	4221	68	633	12	221	5	NA	NA	NA	NA	NA	list()
132150602	950	62959	168	9898	0	0	18	1212	9898	168	3308	61	1603	32	NA	NA	NA	NA	NA	list()
132150603	507	40462	42	3421	0	0	17	1386	3421	42	640	8	170	2	NA	NA	NA	NA	NA	list()
132150604	166	10230	54	867	0	0	0	0	867	54	422	4	106	1	NA	NA	NA	NA	NA	list()
132150701	869	66541	98	7029	0	0	5	583	7029	98	4689	66	3501	50	NA	NA	NA	NA	NA	list()
132150702	611	40884	198	11964	0	0	12	743	11964	198	8612	142	4344	73	NA	NA	NA	NA	NA	list()
132150703	1277	94798	193	12570	0	0	24	1745	12570	193	5192	80	1102	18	NA	NA	NA	NA	NA	list()
132150705	1332	91966	153	9921	0	0	57	3627	9921	153	2937	46	725	10	NA	NA	NA	NA	NA	list()
132150706	71	5492	14	1314	0	0	0	0	1314	14	929	9	290	3	NA	NA	NA	NA	NA	list()
132150801	853	56030	139	8784	0	0	17	971	8784	139	1441	27	428	9	NA	NA	NA	NA	NA	list()
132150802	1104	69743	248	8327	0	0	17	1226	8327	248	4049	174	2534	130	NA	NA	NA	NA	NA	list()
132150803	1367	92681	187	10491	0	0	39	2201	10491	187	2767	48	1032	19	NA	NA	NA	NA	NA	list()
132150901	2507	141701	367	17884	0	0	51	2709	17884	367	4866	109	1302	31	NA	NA	NA	NA	NA	list()
132150902	1446	74303	358	17604	0	0	8	382	17604	358	7611	156	2235	46	NA	NA	NA	NA	NA	list()
132150903	1696	88972	294	14162	0	0	46	2318	14162	294	5091	106	2694	56	NA	NA	NA	NA	NA	list()
132151001	770	55166	165	11565	0	0	7	522	11565	165	5199	75	756	11	NA	NA	NA	NA	NA	list()
132151002	1279	95921	238	16101	0	0	11	834	16101	238	8354	135	2483	40	NA	NA	NA	NA	NA	list()
132151003	982	76340	74	5096	0	0	39	2865	5096	74	1337	24	841	14	NA	NA	NA	NA	NA	list()
132151101	153	9952	15	878	0	0	1	43	878	15	0	0	0	0	NA	NA	NA	NA	NA	list()
132151102	2638	161761	341	18465	0	0	42	2845	18465	341	6899	135	3916	73	NA	NA	NA	NA	NA	list()
132160101	900	58165	110	6712	0	0	52	3027	6712	110	2989	51	1732	26	NA	NA	NA	NA	NA	list()
132160102	888	56119	120	7261	0	0	37	2263	7261	120	1366	25	524	9	NA	NA	NA	NA	NA	list()
132160103	1086	68431	137	7789	0	0	45	2723	7789	137	1998	36	1053	19	NA	NA	NA	NA	NA	list()
132160104	170	12319	35	2235	0	0	8	571	2235	35	1074	18	618	10	NA	NA	NA	NA	NA	list()
132160105	197	14072	8	413	0	0	15	922	413	8	107	3	77	2	NA	NA	NA	NA	NA	list()
132160201	541	32935	72	3822	0	0	41	2076	3822	72	1023	21	345	6	NA	NA	NA	NA	NA	list()
132160301	1485	83167	279	13238	0	0	43	2465	13238	279	4442	94	1726	36	NA	NA	NA	NA	NA	list()
132160302	417	27223	46	2929	0	0	10	462	2929	46	1792	27	858	11	NA	NA	NA	NA	NA	list()
132160401	1390	91031	143	7892	0	0	40	2416	7892	143	2848	55	1444	29	NA	NA	NA	NA	NA	list()
132160402	57	3750	12	602	0	0	1	68	602	12	152	3	20	1	NA	NA	NA	NA	NA	list()
132160403	1356	96295	118	7682	0	0	41	2707	7682	118	2789	46	1408	24	NA	NA	NA	NA	NA	list()
831200000	3097	262586	224	13749	0	0	174	14650	13749	224	2642	43	1344	22	NA	NA	NA	NA	NA	list()
840890101	2021	114580	421	22187	0	0	62	3538	22187	421	8544	158	4994	96	NA	NA	NA	NA	NA	list()
840890102	1480	101745	200	11613	0	0	46	3514	11613	200	3581	53	1772	21	NA	NA	NA	NA	NA	list()
840890103	1577	129940	112	7185	0	0	49	4265	7185	112	1830	23	665	7	NA	NA	NA	NA	NA	list()
840890104	1368	120989	82	6197	0	0	32	2922	6197	82	1345	14	599	4	NA	NA	NA	NA	NA	list()
840890201	1830	159836	130	9794	0	0	64	5553	9794	130	1715	25	765	12	NA	NA	NA	NA	NA	list()
840890202	1490	122724	131	8960	0	0	24	2186	8960	131	2249	34	961	14	NA	NA	NA	NA	NA	list()
840890203	1593	145804	136	10529	0	0	63	6560	10529	136	2982	40	842	11	NA	NA	NA	NA	NA	list()
NA	2076	160201	222	16092	0	0	129	12539	16092	222	4211	58	2466	32	NA	NA	NA	NA	NA	list()
